	time [s]	amplitude [m]
0	0.0	-5.494931820502183
1	0.001	6.332804647483597
2	0.002	-0.3572759571752575
3	0.003	6.672537294356769
4	0.004	-2.5466055666261047
5	0.005	-2.880504795505666
6	0.006	4.398071799592026
7	0.007	1.342831605842505
8	0.008	8.324379194213993
9	0.009000000000000001	6.280221750332514
10	0.01	-0.2839526959837726
11	0.011	5.611110134175396
12	0.012	2.871576958449093
13	0.013000000000000001	2.2576447332258005
14	0.014	7.973706691256117
15	0.015	6.439199740876585
16	0.016	-1.0639573583330235
17	0.017	2.7327455305283754
18	0.018000000000000002	-1.0859211872099834
19	0.019	6.550294195301974
20	0.02	-3.4604386024560037
21	0.021	-1.2162518895570082
22	0.022	2.743640130546025
23	0.023	4.571124844460087
24	0.024	-1.4265524249520187
25	0.025	-4.415217830866981
26	0.026000000000000002	3.889539073467682
27	0.027	-0.42207409566516785
28	0.028	1.457443505531929
29	0.029	9.18628632458399
30	0.03	-2.2318731201821946
31	0.031	-8.358146572168934
32	0.032	-0.8864141160555845
33	0.033	7.788698967430538
34	0.034	6.417861868879061
35	0.035	5.971175528345151
36	0.036000000000000004	-1.3774525803909956
37	0.037	-3.8436441532804393
38	0.038	2.5308580143685506
39	0.039	4.239789237020622
40	0.04	2.610914283036965
41	0.041	3.0882918280796057
42	0.042	-1.7637239912339544
43	0.043000000000000003	1.2800129307482575
44	0.044	-4.43809929002455
45	0.045	0.5472557633728966
46	0.046	-0.5055131706579481
47	0.047	-3.196255835785646
48	0.048	-3.949016895240919
49	0.049	4.444933164591039
50	0.05	-0.5182458620056246
51	0.051000000000000004	2.841595407994102
52	0.052000000000000005	-0.22861939235575446
53	0.053	2.7196424994843067
54	0.054	-7.335027416489354
55	0.055	0.6910191914108507
56	0.056	-1.2650143078310259
57	0.057	-7.411631959349537
58	0.058	-1.6189430720086317
59	0.059000000000000004	1.303655306226452
60	0.06	-1.7807419338006265
61	0.061	-1.6571177274216362
62	0.062	-2.424956204927091
63	0.063	-2.504178559801744
64	0.064	-13.06943933569031
65	0.065	0.14775986267330402
66	0.066	-5.305799395169282
67	0.067	-0.919717733805264
68	0.068	4.463232900018006
69	0.069	-3.751263829260969
70	0.07	1.3318706527630042
71	0.07100000000000001	-0.9243087035706976
72	0.07200000000000001	7.115334347838157
73	0.073	-0.6647917994302741
74	0.074	4.783534583189136
75	0.075	9.380666877277491
76	0.076	0.23994552833203597
77	0.077	-0.8105129234644544
78	0.078	8.365361812853154
79	0.079	0.6605012217715284
80	0.08	-0.45231668076056053
81	0.081	-3.079338222806321
82	0.082	-2.293440198686839
83	0.083	-6.22061241990477
84	0.084	10.389280561704792
85	0.085	7.140866396187453
86	0.08600000000000001	2.5821005211897567
87	0.08700000000000001	2.925648015050087
88	0.088	3.1573319218657496
89	0.089	-3.0270102586238505
90	0.09	-4.523538583905827
91	0.091	-1.6438474323439884
92	0.092	-5.331904737248995
93	0.093	0.8029278254382299
94	0.094	-7.863126499051873
95	0.095	-1.0301054573793202
96	0.096	2.1286269671581897
97	0.097	4.0128764883189
98	0.098	3.828318468780761
99	0.099	-4.439923423111059
100	0.1	-5.180755844178309
101	0.101	5.840172817315926
102	0.10200000000000001	-1.3963728965782631
103	0.10300000000000001	-1.2285778721023488
104	0.10400000000000001	-3.523394630827929
105	0.105	3.0128065499731305
106	0.106	-4.206036470142074
107	0.107	-1.6470057567719083
108	0.108	8.129361467686326
109	0.109	3.5640145169822155
110	0.11	5.268761643014514
111	0.111	3.735098759823985
112	0.112	6.352141089348679
113	0.113	6.0268795450222985
114	0.114	-0.08323678758138708
115	0.115	4.658196601133122
116	0.116	5.054306973231653
117	0.117	2.0447589191544644
118	0.11800000000000001	-0.8084908003534315
119	0.11900000000000001	-0.7617342328198915
120	0.12	-1.5913453339483552
121	0.121	-2.5209772588660653
122	0.122	-7.0595724996124
123	0.123	-2.1947011255293685
124	0.124	-3.099474206377213
125	0.125	-1.454390394103325
126	0.126	-5.471584674693226
127	0.127	4.713072360816798
128	0.128	-0.35187432831716436
129	0.129	2.261550531042572
130	0.13	7.708209753379196
131	0.131	-2.3294900136518724
132	0.132	2.037770057145967
133	0.133	3.2418376218584184
134	0.134	-3.7161316434031546
135	0.135	6.917820550093262
136	0.136	-0.033104128532732924
137	0.137	2.6961123624481633
138	0.138	-4.99537646769548
139	0.139	7.987452720459911
140	0.14	-7.424402356315208
141	0.14100000000000001	9.012062976724403
142	0.14200000000000002	0.04738399094075696
143	0.14300000000000002	2.9645645086805805
144	0.14400000000000002	0.8294897488193276
145	0.145	-2.8737250762583346
146	0.146	1.1910603526720231
147	0.147	-0.06498784929598789
148	0.148	6.0736423806550945
149	0.149	2.0710771670987063
150	0.15	3.5754690418910213
151	0.151	-0.793442598079863
152	0.152	-3.2126610185456204
153	0.153	3.2409476915109314
154	0.154	-0.8785822058284429
155	0.155	-1.9456669127792967
156	0.156	-0.05013290746020843
157	0.157	0.23194468060224493
158	0.158	-2.771404053207802
159	0.159	-0.2955982119845995
160	0.16	0.9069942384242703
161	0.161	2.2609864772435064
162	0.162	-7.720950928297969
163	0.163	0.14928228675825297
164	0.164	-5.570589555926875
165	0.165	3.104984971703429
166	0.166	3.0640570366901034
167	0.167	-3.0499853669421317
168	0.168	1.1764576981959642
169	0.169	-5.573569471839834
170	0.17	3.0511679693486187
171	0.171	-4.225319415416378
172	0.17200000000000001	3.076950414571217
173	0.17300000000000001	2.122983445239059
174	0.17400000000000002	-3.2227616628428377
175	0.17500000000000002	-2.095225360122321
176	0.176	3.5999806923697775
177	0.177	-3.857609602755515
178	0.178	1.2296092584963885
179	0.179	-7.115479718669244
180	0.18	-2.015240694725088
181	0.181	-5.6167359757309585
182	0.182	-2.8675803502506083
183	0.183	0.19341104354140765
184	0.184	3.432910197079009
185	0.185	-1.357359586935467
186	0.186	-0.7698653764967107
187	0.187	1.7407670891756846
188	0.188	5.357210248755512
189	0.189	2.7214708469588436
190	0.19	3.2938952812593207
191	0.191	-1.901455796169007
192	0.192	-5.96230809156442
193	0.193	4.929013865156062
194	0.194	-7.423460631954137
195	0.195	-0.4981881505497596
196	0.196	1.2020586391809147
197	0.197	-0.3749531647199643
198	0.198	4.016088096016155
199	0.199	1.0142516784825477
200	0.2	2.495025497653404
201	0.201	4.813087457047464
202	0.202	-7.314414669414945
203	0.203	-2.2394016722447936
